* This data was exported from the Dayton Audio Test System: DATS
*
D    	0	[mm]
Re   	5.743	[Ohms]
Fs   	394.3	[Hz]
Zm   	23.35	[Ohms]
BL   	0	[N/A]
Qms  	4.27
Qes  	1.393
Qts  	1.05
Vas  	0 	[liters]
L10k 	0.1171	[mH]
n0   	0	[%]
dBSPL  	0	[1W/1m]
Ms   	0	[grams]
Cms  	0	[mm/N]
*
*
Freq            Impedance       Phase
1366.876    	6.262    	-0.091    
1406.929    	6.279    	0.566    
1448.155    	6.302    	1.229    
1490.589    	6.330    	1.885    
1534.266    	6.366    	2.532    
1579.224    	6.411    	3.160    
1625.499    	6.470    	3.748    
1673.129    	6.545    	4.234    
1722.156    	6.638    	4.517    
1772.619    	6.737    	4.473    
1824.561    	6.812    	4.018    
1878.024    	6.821    	3.304    
1933.055    	6.755    	2.786    
1989.697    	6.655    	2.791    
2048.000    	6.569    	3.247    
2108.011    	6.514    	3.930    
2169.780    	6.486    	4.682    
2233.360    	6.477    	5.440    
2298.802    	6.481    	6.176    
2366.162    	6.497    	6.880    
2435.496    	6.519    	7.551    
2506.862    	6.544    	8.181    
2580.318    	6.576    	8.796    
2655.927    	6.613    	9.402    
2733.752    	6.660    	9.983    
2813.857    	6.717    	10.501    
2896.309    	6.783    	10.865    
2981.178    	6.835    	11.021    
3068.533    	6.857    	11.162    
3158.448    	6.863    	11.499    
3250.997    	6.878    	11.986    
3346.259    	6.910    	12.512    
3444.312    	6.953    	12.983    
3545.238    	6.998    	13.392    
3649.121    	7.035    	13.786    
3756.049    	7.072    	14.235    
3866.109    	7.117    	14.722    
3979.395    	7.173    	15.177    
4096.000    	7.234    	15.580    
4216.022    	7.296    	15.923    
4339.561    	7.351    	16.232    
4466.720    	7.404    	16.538    
4597.605    	7.455    	16.855    
4732.325    	7.510    	17.200    
4870.992    	7.574    	17.547    
5013.723    	7.639    	17.806    
5160.637    	7.696    	18.020    
5311.855    	7.749    	18.280    
5467.504    	7.807    	18.558    
5627.714    	7.865    	18.791    
5792.619    	7.914    	19.012    
5962.355    	7.957    	19.283    
6137.066    	8.004    	19.631    
6316.896    	8.062    	19.999    
6501.995    	8.129    	20.330    
6692.518    	8.195    	20.608    
6888.623    	8.255    	20.853    
7090.476    	8.307    	21.118    
7298.242    	8.361    	21.455    
7512.097    	8.427    	21.836    
7732.218    	8.501    	22.163    
7958.790    	8.570    	22.454    
8192.000    	8.636    	22.766    
8432.044    	8.710    	23.086    
8679.122    	8.786    	23.390    
8933.439    	8.861    	23.694    
9195.209    	8.938    	24.008    
9464.649    	9.017    	24.332    
9741.985    	9.099    	24.650    
10027.447    	9.185    	24.955    
10321.273    	9.274    	25.245    
10623.710    	9.363    	25.533    
10935.008    	9.454    	25.824    
11255.428    	9.548    	26.108    
11585.238    	9.645    	26.379    
11924.711    	9.743    	26.633    
12274.132    	9.842    	26.872    
12633.791    	9.942    	27.103    
13003.989    	10.042    	27.337    
13385.035    	10.143    	27.563    
13777.247    	10.242    	27.786    
14180.951    	10.343    	28.014    
14596.485    	10.445    	28.244    
15024.194    	10.550    	28.469    
15464.437    	10.657    	28.687    
15917.579    	10.764    	28.913    
16384.000    	10.871    	29.135    
16864.088    	10.980    	29.354    
17358.243    	11.095    	29.568    
17866.879    	11.212    	29.761    
18390.418    	11.324    	29.937    
18929.299    	11.432    	30.117    
19483.969    	11.536    	30.314    
20054.893    	11.642    	30.543    
20642.546    	11.752    	31.010    
